block,plot,treatment,date,abundance,richness
4,703,6,7/27/2020,2,1
4,703,6,7/13/2020,1,1
4,703,6,6/30/2020,0,0
4,703,6,7/14/2020,0,0
4,703,6,8/12/2020,0,0
4,703,6,8/26/2020,0,0
2,302,3,6/16/2020,0,0
2,302,3,6/18/2020,0,0
2,302,3,8/11/2020,7,2
2,302,3,8/25/2020,0,0
2,302,3,8/28/2020,0,0
2,302,3,9/8/2020,2,2
2,302,3,7/27/2020,2,1
2,302,3,7/13/2020,1,1
2,302,3,6/30/2020,0,0
2,302,3,7/14/2020,0,0
2,302,3,8/12/2020,0,0
2,302,3,8/26/2020,0,0
4,801,1,6/16/2020,0,0
4,801,1,6/18/2020,0,0
4,801,1,8/11/2020,5,2
4,801,1,8/25/2020,1,1
4,801,1,8/28/2020,0,0
4,801,1,9/8/2020,9,3
4,801,1,7/27/2020,7,1
4,801,1,7/13/2020,4,1
4,801,1,6/30/2020,0,0
4,801,1,7/14/2020,0,0
4,801,1,8/12/2020,0,0
4,801,1,8/26/2020,0,0
4,702,4,6/16/2020,0,0
4,702,4,6/18/2020,0,0
4,702,4,8/11/2020,8,2
4,702,4,8/25/2020,3,1
4,702,4,8/28/2020,0,0
4,702,4,9/8/2020,6,1
4,702,4,7/27/2020,3,1
4,702,4,7/13/2020,3,1
4,702,4,6/30/2020,0,0
4,702,4,7/14/2020,0,0
4,702,4,8/12/2020,0,0
4,702,4,8/26/2020,0,0
2,303,6,6/16/2020,0,0
2,303,6,6/18/2020,0,0
2,303,6,8/11/2020,1,1
2,303,6,8/25/2020,6,2
2,303,6,8/28/2020,0,0
2,303,6,9/8/2020,4,1
2,303,6,7/27/2020,0,0
2,303,6,7/13/2020,6,1
2,303,6,6/30/2020,0,0
2,303,6,7/14/2020,0,0
2,303,6,8/12/2020,0,0
2,303,6,8/26/2020,0,0
3,502,7,6/16/2020,0,0
3,502,7,6/18/2020,0,0
3,502,7,8/11/2020,7,2
3,502,7,8/25/2020,5,2
3,502,7,8/28/2020,0,0
3,502,7,9/8/2020,0,0
3,502,7,7/27/2020,3,2
3,502,7,7/13/2020,2,1
3,502,7,6/30/2020,0,0
3,502,7,7/14/2020,0,0
3,502,7,8/12/2020,0,0
3,502,7,8/26/2020,0,0
1,201,4,6/16/2020,0,0
1,201,4,6/18/2020,5,1
1,201,4,8/11/2020,5,1
1,201,4,8/25/2020,0,0
1,201,4,8/28/2020,0,0
1,201,4,9/8/2020,7,4
1,201,4,7/27/2020,0,0
1,201,4,7/13/2020,1,1
1,201,4,6/30/2020,0,0
1,201,4,7/14/2020,0,0
1,201,4,8/12/2020,0,0
1,201,4,8/26/2020,0,0
1,203,5,6/16/2020,0,0
1,203,5,6/18/2020,0,0
1,203,5,8/11/2020,2,2
1,203,5,8/25/2020,3,1
1,203,5,8/28/2020,0,0
1,203,5,9/8/2020,0,0
1,203,5,7/27/2020,0,0
1,203,5,7/13/2020,1,1
1,203,5,6/30/2020,0,0
1,203,5,7/14/2020,0,0
1,203,5,8/12/2020,0,0
1,203,5,8/26/2020,0,0
1,202,1,6/16/2020,0,0
1,202,1,6/18/2020,0,0
1,202,1,8/11/2020,3,2
1,202,1,8/25/2020,5,2
1,202,1,8/28/2020,0,0
1,202,1,9/8/2020,5,3
1,202,1,7/27/2020,3,2
1,202,1,7/13/2020,1,1
1,202,1,6/30/2020,0,0
1,202,1,7/14/2020,0,0
1,202,1,8/12/2020,0,0
1,202,1,8/26/2020,0,0
4,804,1,7/19/2021,34,3
4,804,1,8/3/2021,20,5
4,804,1,8/10/2021,0,0
4,804,1,8/23/2021,0,0
4,804,1,8/16/2021,11,4
4,804,1,7/7/2021,32,7
4,804,1,7/26/2021,0,0
4,804,1,6/23/2021,9,2
4,804,1,7/12/2021,0,0
4,804,1,9/7/2021,0,0
4,804,1,6/26/2021,0,0
4,804,1,7/6/2021,0,0
4,804,1,6/7/2021,0,0
4,804,1,6/24/2021,0,0
4,804,1,7/8/2021,0,0
1,204,4,7/19/2021,11,8
1,204,4,8/3/2021,39,6
1,204,4,8/10/2021,0,0
1,204,4,8/23/2021,0,0
1,204,4,8/16/2021,15,3
1,204,4,7/7/2021,17,4
1,204,4,7/26/2021,0,0
1,204,4,6/23/2021,0,0
1,204,4,7/12/2021,0,0
1,204,4,9/7/2021,0,0
1,204,4,6/26/2021,0,0
1,204,4,7/6/2021,0,0
1,204,4,6/7/2021,0,0
1,204,4,6/24/2021,0,0
1,204,4,7/8/2021,0,0
1,203,2,7/19/2021,12,4
1,203,2,8/3/2021,30,3
1,203,2,8/10/2021,0,0
1,203,2,8/23/2021,0,0
1,203,2,8/16/2021,12,5
1,203,2,7/7/2021,43,7
1,203,2,7/26/2021,0,0
1,203,2,6/23/2021,4,4
1,203,2,7/12/2021,0,0
1,203,2,9/7/2021,0,0
1,203,2,6/26/2021,0,0
1,203,2,7/6/2021,0,0
1,203,2,6/7/2021,0,0
1,203,2,6/24/2021,0,0
1,203,2,7/8/2021,0,0
4,701,6,7/19/2021,29,6
4,701,6,8/3/2021,33,7
4,701,6,8/10/2021,0,0
4,701,6,8/23/2021,0,0
4,701,6,8/16/2021,15,5
4,701,6,7/7/2021,39,5
4,701,6,7/26/2021,0,0
4,701,6,6/23/2021,2,1
4,701,6,7/12/2021,0,0
4,701,6,9/7/2021,0,0
4,701,6,6/26/2021,0,0
4,701,6,7/6/2021,0,0
4,701,6,6/7/2021,0,0
4,701,6,6/24/2021,0,0
4,701,6,7/8/2021,0,0
4,802,2,7/19/2021,34,7
4,802,2,8/3/2021,27,3
4,802,2,8/10/2021,0,0
4,802,2,8/23/2021,0,0
4,802,2,8/16/2021,22,5
4,802,2,7/7/2021,22,5
4,802,2,7/26/2021,0,0
4,802,2,6/23/2021,13,3
4,802,2,7/12/2021,0,0
4,802,2,9/7/2021,0,0
4,802,2,6/26/2021,0,0
4,802,2,7/6/2021,0,0
4,802,2,6/7/2021,0,0
4,802,2,6/24/2021,0,0
4,802,2,7/8/2021,0,0
3,501,1,7/19/2021,0,0
3,501,1,8/3/2021,0,0
3,501,1,8/10/2021,23,2
3,501,1,8/23/2021,20,2
3,501,1,8/16/2021,0,0
3,501,1,7/7/2021,0,0
3,501,1,7/26/2021,4,2
3,501,1,6/23/2021,0,0
3,501,1,7/12/2021,3,1
3,501,1,9/7/2021,3,2
3,501,1,6/26/2021,0,0
3,501,1,7/6/2021,0,0
3,501,1,6/7/2021,0,0
3,501,1,6/24/2021,0,0
3,501,1,7/8/2021,0,0
2,402,6,7/19/2021,0,0
2,402,6,8/3/2021,0,0
2,402,6,8/10/2021,25,4
2,402,6,8/23/2021,25,5
2,402,6,8/16/2021,0,0
2,402,6,7/7/2021,0,0
2,402,6,7/26/2021,1,1
2,402,6,6/23/2021,0,0
2,402,6,7/12/2021,9,4
2,402,6,9/7/2021,3,2
2,402,6,6/26/2021,0,0
2,402,6,7/6/2021,0,0
2,402,6,6/7/2021,0,0
2,402,6,6/24/2021,0,0
2,402,6,7/8/2021,0,0
1,104,7,7/19/2021,20,8
1,104,7,8/3/2021,34,7
1,104,7,8/10/2021,0,0
1,104,7,8/23/2021,0,0
1,104,7,8/16/2021,8,3
1,104,7,7/7/2021,14,3
1,104,7,7/26/2021,0,0
1,104,7,6/23/2021,0,0
1,104,7,7/12/2021,0,0
1,104,7,9/7/2021,0,0
1,104,7,6/26/2021,0,0
1,104,7,7/6/2021,0,0
1,104,7,6/7/2021,0,0
1,104,7,6/24/2021,0,0
1,104,7,7/8/2021,0,0
3,504,6,7/19/2021,24,6
3,504,6,8/3/2021,26,5
3,504,6,8/10/2021,0,0
3,504,6,8/23/2021,0,0
3,504,6,8/16/2021,25,5
3,504,6,7/7/2021,0,0
3,504,6,7/26/2021,0,0
3,504,6,6/23/2021,14,3
3,504,6,7/12/2021,0,0
3,504,6,9/7/2021,0,0
3,504,6,6/26/2021,0,0
3,504,6,7/6/2021,3,3
3,504,6,6/7/2021,17,4
3,504,6,6/24/2021,0,0
3,504,6,7/8/2021,0,0
2,402,6,7/19/2021,11,4
2,402,6,8/3/2021,29,8
2,402,6,8/10/2021,0,0
2,402,6,8/23/2021,0,0
2,402,6,8/16/2021,14,5
2,402,6,7/7/2021,41,6
2,402,6,7/26/2021,0,0
2,402,6,6/23/2021,7,4
2,402,6,7/12/2021,0,0
2,402,6,9/7/2021,0,0
2,402,6,6/26/2021,0,0
2,402,6,7/6/2021,0,0
2,402,6,6/7/2021,0,0
2,402,6,6/24/2021,0,0
